smiles,synthon_id,synthon_number,bb_id
Cl.COC(=O)C(N)C=1C=CC=C(C1)C(F)(F)F,12853174,1,EN300-367353
Cl.COC(=O)C(N)CC=1C=CC(OC(F)(F)F)=CC1,12853274,1,EN300-364700
Cl.COC(=O)C(N)CO,12887542,1,EN300-20652
Cl.COC(=O)C1(O)CCNCC1,12890364,1,EN300-124430
"Cl.COC(=O)[C@@]1(CN)C[C@@H]1S(=O)(=O)C |&1:5,9,r|",12890376,1,EN300-378932
"Cl.COC(=O)[C@@]12CCC[C@H]2CNC1 |&1:5,9,r|",12899474,1,EN300-378183
Cl.CCOC(=O)C1CNCC21CC2,12899566,1,EN300-379083
Cl.COC(=O)C(N)CC1CCOCC1,12900974,1,EN300-373510
"Cl.COC(=O)[C@@H]1C[C@H](N)C=2C=CC=CC12 |&1:5,7,r|",12902118,1,EN300-345945
Cl.COC(=O)CCC=1C=CC=C(N)C1,12907894,1,EN300-372033
Cl.COC(=O)C1(O)CCNC1,12913418,1,EN300-379072
COC(=O)CCC=1C=CC(O)=C(N)C1,13022736,1,EN300-365677
"Cl.COC(=O)[C@@H]1CCO[C@H]1C2CCNCC2 |&1:5,9,r|",13027656,1,EN300-371737
Cl.CCOC(=O)C(N)CCCC(C)C,13038036,1,EN300-392810
"Cl.COC(=O)[C@@H]1C[C@@H]1CN |&1:5,7,r|",13038300,1,EN300-384679
Cl.CCOC=1C=C(C=CC1N)C(=O)OC,13040060,1,EN300-384729
COC(=O)CCC1=CSC(N)=N1,13046036,1,EN300-90061
CCOC(=O)CC1=CN=C(N)S1,13046374,1,EN300-100616
COC(=O)C1CCC=2SC(N)=NC2C1,13046388,1,EN300-255737
CCOC(=O)CC=1N=C(N)SC1C,13046416,1,EN300-261323
CCOC(=O)CN1N=C(C)C=C1N,13067822,1,EN300-231757
Cl.Cl.COC(=O)CN1CCNCC1,13067824,1,EN300-316533
Cl.COCCOC=1C=C(C=CC1N)C(=O)OC,13067836,1,EN300-317863
CCOC(=O)CC1=CSC(N)=N1,13074466,1,EN300-16074
Cl.COC(=O)C=1C=C(N)C=CC1Br,13074534,1,EN300-157110
Cl.COC(=O)C1=CC(=NO1)C2CCNCC2,13074554,1,EN300-343676
Br.CCOC(=O)C1=CSC(CC2CCNCC2)=N1,13074558,1,EN300-374256
Cl.COC(=O)[C@H]1[C@@H]2CNC[C@H]12,13130122,1,EN300-51636
Cl.Cl.COC(=O)C=1C=CC=2CCNCC2N1,13130208,1,EN300-396376
Cl.COC(=O)CC1CC(N)C1,13152108,1,EN300-392995
Cl.COC(=O)C(CN)CC=1C=CC=CC1,13152190,1,EN300-395794
Cl.COC(=O)C1=CN=C(CN)S1,13152272,1,EN300-395878
Cl.COC(=O)CC(C)(C)CN,13152354,1,EN300-396655
Cl.CC[C@H](N)C(=O)OC,13157760,1,EN300-395958
